key_pair,comfort_score,distance_score,dvorak7_score,engram_avg4_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram_avg4_score_normalized,time_score_normalized
.I,-1.25098,82.235587,0.428571,0.582545,881.16673,0.166014,0.609152,0.061224,0.582545,0.457598
.J,-0.836557,42.941821,0.714286,0.735,1105.396844,0.442295,0.318088,0.102041,0.735,0.787348
.K,-0.953484,42.941821,0.571429,0.723182,1054.551641,0.364344,0.318088,0.081633,0.723182,0.712576
.L,-1.030731,42.941821,0.285714,0.396,1059.5,0.312846,0.318088,0.040816,0.396,0.719853
.M,-0.81978,85.883642,0.714286,0.831136,1095.841039,0.45348,0.636175,0.102041,0.831136,0.773296
.N,-1.442261,84.989413,0.642857,0.748,1075.4,0.038493,0.629551,0.091837,0.748,0.743235
.O,-1.274007,81.97119,0.142857,0.259909,1081.1,0.150662,0.607194,0.020408,0.259909,0.751618
.P,-1.442261,82.235587,0.214286,0.536273,1048.0,0.038493,0.609152,0.030612,0.536273,0.702941
.Q,-0.768354,82.235587,0.714286,0.843091,840.448964,0.487764,0.609152,0.102041,0.843091,0.397719
.R,-0.580639,82.235587,0.785714,0.882273,868.13971,0.612907,0.609152,0.112245,0.882273,0.438441
.S,-0.546709,42.941821,0.785714,0.889364,806.521626,0.635527,0.318088,0.112245,0.889364,0.347826
.T,-0.828168,90.143516,0.714286,0.799136,1048.0,0.447888,0.66773,0.102041,0.799136,0.702941
.U,-1.242302,82.235587,0.571429,0.575455,1061.6,0.171799,0.609152,0.081633,0.575455,0.722941
.V,-0.677529,85.883642,0.785714,0.882273,1082.6,0.548314,0.636175,0.112245,0.882273,0.753824
.W,-0.681426,82.235587,0.714286,0.873545,1096.771791,0.545716,0.609152,0.102041,0.873545,0.774664
.X,-0.81978,85.883642,0.714286,0.843091,1048.0,0.45348,0.636175,0.102041,0.843091,0.702941
.Y,-1.442261,104.162733,0.5,0.492318,1048.0,0.038493,0.771576,0.071429,0.492318,0.702941
.Z,-0.79494,85.883642,0.714286,0.843091,1248.0,0.47004,0.636175,0.102041,0.843091,0.997059
.[,-1.442261,90.143516,0.142857,0.492318,840.448964,0.038493,0.66773,0.020408,0.492318,0.397719
