key_triple,engram6_score
'DS,4.166666666666667
'DT,3.8333333333333335
'DU,4.673333333333334
'DV,4.34
'DW,3.3333333333333335
'DX,3.3333333333333335
'DY,4.333333333333333
'DZ,3.75
'D[,3.993333333333333
'E',3.8266666666666667
"'E,",4.506666666666667
'E.,4.166666666666667
'E/,4.333333333333333
'E;,4.5
'EA,3.75
'EB,3.4166666666666665
'EC,2.506666666666667
'ED,3.09
'EE,3.1733333333333333
'EF,4.34
'EG,3.6666666666666665
'EH,4.166666666666667
'EI,4.673333333333334
'EJ,4.84
'EK,4.84
'EL,4.5
'EM,4.673333333333334
'EN,4.166666666666667
'EO,4.166666666666667
'EP,4.166666666666667
'EQ,3.4166666666666665
'ER,4.506666666666667
'ES,3.5
'ET,3.9166666666666665
'EU,4.506666666666667
'EV,3.9233333333333333
'EW,3.6666666666666665
'EX,2.9166666666666665
'EY,4.166666666666667
'EZ,3.3333333333333335
'E[,3.8266666666666667
'F',3.993333333333333
"'F,",4.673333333333334
'F.,4.333333333333333
'F/,4.5
'F;,4.666666666666667
'FA,3.9166666666666665
'FB,2.5833333333333335
'FC,3.6733333333333333
'FD,4.506666666666667
'FE,3.84
'FF,3.506666666666667
'FG,2.8333333333333335
'FH,4.333333333333333
'FI,4.84
'FJ,5.006666666666667
'FK,5.006666666666667
'FL,4.666666666666667
'FM,4.84
'FN,4.333333333333333
'FO,4.333333333333333
'FP,4.333333333333333
'FQ,3.5833333333333335
'FR,2.9233333333333333
'FS,3.9166666666666665
'FT,2.5833333333333335
'FU,4.673333333333334
'FV,3.09
'FW,3.5833333333333335
'FX,3.5833333333333335
'FY,4.333333333333333
'FZ,3.75
'F[,3.993333333333333
'G',3.33
"'G,",4.0
'G.,3.66
'G/,3.8266666666666667
'G;,3.993333333333333
'GA,3.243333333333333
'GB,1.92
'GC,3.0
'GD,3.5833333333333335
'GE,3.1666666666666665
'GF,2.8333333333333335
'GG,2.17
'GH,3.67
'GI,4.166666666666667
'GJ,4.333333333333333
'GK,4.333333333333333
'GL,3.993333333333333
'GM,4.166666666666667
'GN,3.67
'GO,3.66
'GP,3.66
'GQ,2.91
'GR,2.25
'GS,3.243333333333333
'GT,1.92
'GU,4.0
'GV,2.4166666666666665
'GW,2.91
'GX,2.91
'GY,3.67
'GZ,3.0766666666666667
'G[,3.33
'H',1.83
"'H,",2.25
'H.,2.16
'H/,2.3266666666666667
'H;,2.493333333333333
'HA,3.743333333333333
'HB,3.42
'HC,3.75
'HD,4.083333333333333
'HE,3.9166666666666665
'HF,4.083333333333333
'HG,3.42
'HH,1.92
'HI,2.4166666666666665
'HJ,2.5833333333333335
'HK,2.8333333333333335
'HL,2.493333333333333
'HM,2.1666666666666665
'HN,1.67
'HO,2.16
'HP,2.16
'HQ,3.41
'HR,3.75
'HS,3.743333333333333
'HT,3.42
'HU,2.0
'HV,3.9166666666666665
'HW,3.41
'HX,3.41
'HY,1.67
'HZ,3.5766666666666667
'H[,1.83
'I',2.3266666666666667
"'I,",2.256666666666667
'I.,2.1666666666666665
'I/,2.5833333333333335
'I;,3.0
'IA,4.25
'IB,3.9166666666666665
'IC,4.256666666666667
'ID,4.59
'IE,4.423333333333334
'IF,4.59
'IG,3.9166666666666665
'IH,3.4166666666666665
'II,2.9233333333333333
'IJ,4.09
'IK,2.84
'IL,2.75
'IM,3.6733333333333333
'IN,3.1666666666666665
'IO,2.9166666666666665
'IP,2.6666666666666665
'IQ,3.9166666666666665
'IR,4.256666666666667
'IS,4.25
'IT,3.9166666666666665
'IU,4.256666666666667
'IV,4.423333333333334
'IW,3.9166666666666665
'IX,3.9166666666666665
'IY,3.6666666666666665
'IZ,4.083333333333333
'I[,2.3266666666666667
'J',2.493333333333333
"'J,",2.9233333333333333
'J.,2.8333333333333335
'J/,3.0
'J;,3.1666666666666665
'JA,4.416666666666667
'JB,4.083333333333333
'JC,4.423333333333334
'JD,4.756666666666667
'JE,4.59
'JF,4.756666666666667
'JG,4.083333333333333
'JH,2.5833333333333335
'JI,3.09
'JJ,3.256666666666667
'JK,3.756666666666667
'JL,3.1666666666666665
'JM,2.84
'JN,2.3333333333333335
'JO,2.8333333333333335
'JP,2.8333333333333335
'JQ,4.083333333333333
'JR,4.423333333333334
'JS,4.416666666666667
'JT,4.083333333333333
'JU,2.6733333333333333
'JV,4.59
'JW,4.083333333333333
'JX,4.083333333333333
'JY,2.3333333333333335
'JZ,4.25
'J[,2.493333333333333
'K',2.493333333333333
"'K,",2.6733333333333333
'K.,2.5833333333333335
'K/,3.0
'K;,3.1666666666666665
'KA,4.416666666666667
'KB,4.083333333333333
'KC,4.423333333333334
'KD,4.756666666666667
'KE,4.59
'KF,4.756666666666667
'KG,4.083333333333333
'KH,3.8333333333333335
'KI,2.84
'KJ,4.756666666666667
'KK,3.256666666666667
'KL,3.4166666666666665
'KM,4.09
'KN,3.5833333333333335
'KO,2.5833333333333335
'KP,2.8333333333333335
'KQ,4.083333333333333
'KR,4.423333333333334
'KS,4.416666666666667
'KT,4.083333333333333
'KU,3.9233333333333333
'KV,4.59
'KW,4.083333333333333
'KX,4.083333333333333
'KY,3.5833333333333335
'KZ,4.25
'K[,2.493333333333333
'L',2.163333333333333
"'L,",3.5833333333333335
'L.,2.0033333333333334
'L/,2.42
'L;,3.086666666666667
'LA,4.086666666666667
'LB,3.743333333333333
'LC,4.083333333333333
'LD,4.416666666666667
'LE,4.25
'LF,4.416666666666667
'LG,3.743333333333333
'LH,3.493333333333333
'LI,3.75
'LJ,4.166666666666667
'LK,4.416666666666667
'LL,2.586666666666667
'LM,4.0
'LN,3.493333333333333
'LO,2.0033333333333334
'LP,2.2533333333333334
'LQ,3.7533333333333334
'LR,4.083333333333333
'LS,4.086666666666667
'LT,3.743333333333333
'LU,3.8333333333333335
'LV,4.25
'LW,3.7533333333333334
'LX,3.7533333333333334
'LY,3.493333333333333
'LZ,3.92
'L[,1.9133333333333333
'M',2.3266666666666667
"'M,",3.256666666666667
'M.,2.6666666666666665
'M/,2.8333333333333335
'M;,3.0
'MA,4.25
'MB,3.9166666666666665
'MC,4.256666666666667
'MD,4.59
'ME,4.423333333333334
'MF,4.59
'MG,3.9166666666666665
'MH,2.1666666666666665
'MI,2.6733333333333333
'MJ,2.84
'MK,3.09
'ML,3.0
'MM,2.9233333333333333
'MN,2.4166666666666665
'MO,2.4166666666666665
'MP,2.4166666666666665
'MQ,3.9166666666666665
'MR,4.256666666666667
'MS,4.25
'MT,3.9166666666666665
'MU,2.256666666666667
'MV,4.423333333333334
'MW,3.9166666666666665
'MX,3.9166666666666665
'MY,1.9166666666666667
'MZ,4.083333333333333
'M[,2.0766666666666667
'N',1.83
"'N,",2.5
'N.,2.16
'N/,2.3266666666666667
'N;,2.493333333333333
'NA,3.743333333333333
'NB,3.42
'NC,3.75
'ND,4.083333333333333
'NE,3.9166666666666665
'NF,4.083333333333333
'NG,3.42
'NH,1.67
'NI,2.1666666666666665
'NJ,2.3333333333333335
'NK,2.5833333333333335
'NL,2.493333333333333
'NM,2.4166666666666665
'NN,1.92
'NO,1.9100000000000001
'NP,1.9100000000000001
'NQ,3.41
'NR,3.75
'NS,3.743333333333333
'NT,3.42
'NU,1.75
'NV,3.9166666666666665
'NW,3.41
'NX,3.41
'NY,1.42
'NZ,3.5766666666666667
'N[,1.58
'O',1.33
"'O,",2.75
'O.,1.17
'O/,1.5866666666666667
'O;,2.0033333333333334
'OA,3.5033333333333334
'OB,3.16
'OC,3.5
'OD,3.8333333333333335
'OE,3.6666666666666665
'OF,3.8333333333333335
'OG,3.16
'OH,2.91
'OI,3.6666666666666665
'OJ,3.5833333333333335
'OK,3.3333333333333335
'OL,1.7533333333333334
'OM,3.1666666666666665
'ON,2.66
'OO,1.67
'OP,2.17
'OQ,3.17
'OR,3.5
'OS,3.5033333333333334
'OT,3.16
'OU,3.25
'OV,3.6666666666666665
'OW,3.17
'OX,3.17
'OY,2.91
'OZ,3.336666666666667
'O[,1.58
'P',0.8300000000000001
"'P,",1.75
'P.,1.17
'P/,1.0866666666666667
'P;,1.5033333333333334
'PA,2.2533333333333334
'PB,1.9100000000000001
'PC,2.25
'PD,2.5833333333333335
'PE,2.4166666666666665
'PF,2.5833333333333335
'PG,1.9100000000000001
'PH,1.6600000000000001
'PI,2.1666666666666665
'PJ,2.3333333333333335
'PK,2.3333333333333335
'PL,1.7533333333333334
'PM,1.9166666666666667
'PN,1.4100000000000001
'PO,1.92
'PP,1.42
'PQ,1.92
'PR,2.25
'PS,2.2533333333333334
'PT,1.9100000000000001
'PU,2.0
'PV,2.4166666666666665
'PW,1.92
'PX,1.92
'PY,1.6600000000000001
'PZ,2.086666666666667
'P[,1.08
'Q',2.33
"'Q,",4.0
'Q.,3.67
'Q/,2.836666666666667
'Q;,3.0033333333333334
'QA,2.2533333333333334
'QB,3.16
'QC,3.5
'QD,4.083333333333333
'QE,3.9166666666666665
'QF,4.083333333333333
'QG,3.41
'QH,3.66
'QI,4.166666666666667
'QJ,4.333333333333333
