key_pair,comfort_score,distance_score,time_score,dvorak7_score,dvorak7_repetition,dvorak7_movement,dvorak7_vertical,dvorak7_horizontal,dvorak7_adjacent,dvorak7_weak,dvorak7_outward,comfort_score_normalized,distance_score_normalized,time_score_normalized,dvorak7_score_normalized,dvorak7_repetition_normalized,dvorak7_movement_normalized,dvorak7_vertical_normalized,dvorak7_horizontal_normalized,dvorak7_adjacent_normalized,dvorak7_weak_normalized,dvorak7_outward_normalized
",R",-0.546323,41.117793,446.285854,0.857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.648699,0.659739,0.052825,0.909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0
",S",-0.512393,21.470911,448.001838,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.673266,0.344503,0.05651,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
",T",-0.793852,45.071758,498.5,0.785714,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.469477,0.723181,0.164979,0.818182,1.0,0.0,1.0,0.5,1.0,1.0,1.0
",U",-1.185696,41.117793,490.021933,0.642857,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.185764,0.659739,0.146768,0.636364,0.5,0.0,0.0,1.0,1.0,1.0,1.0
",V",-0.643213,42.941821,495.6,0.857143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.578546,0.689006,0.15875,0.909091,1.0,0.0,1.0,1.0,1.0,1.0,1.0
",W",-0.64711,41.117793,452.984022,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.575724,0.659739,0.067212,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
",X",-0.785464,42.941821,591.7,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.47555,0.689006,0.365169,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
",Y",-1.401832,52.081366,532.5,0.571429,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.029272,0.835651,0.238009,0.545455,0.5,0.0,0.0,0.5,1.0,1.0,1.0
",Z",-0.760624,42.941821,573.75,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.493535,0.689006,0.326613,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
",[",-1.401832,45.071758,497.786098,0.357143,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.029272,0.723181,0.163445,0.272727,0.5,0.0,0.0,0.5,1.0,0.5,0.0
.',-1.442261,40.470911,550.9,0.214286,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.64936,0.277532,0.090909,0.5,0.0,0.5,0.5,0.0,0.0,0.0
".,",-0.969863,42.941821,512.004632,0.571429,0.5,0.0,1.0,1.0,0.0,0.5,1.0,0.342037,0.689006,0.193986,0.545455,0.5,0.0,1.0,1.0,0.0,0.5,1.0
..,-0.977061,21.470911,594.645394,0.285714,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.336825,0.344503,0.371496,0.181818,0.0,0.0,1.0,1.0,0.0,0.0,0.0
./,-1.147859,42.941821,502.152517,0.357143,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.21316,0.689006,0.172824,0.272727,0.5,0.0,1.0,1.0,0.0,0.0,0.0
.;,-1.075631,21.470911,550.9,0.357143,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.265456,0.344503,0.277532,0.272727,0.5,0.707107,0.5,1.0,0.0,0.0,0.0
.A,-0.578609,21.470911,550.9,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.625322,0.344503,0.277532,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
.B,-0.828168,56.140782,574.6,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.44463,0.900785,0.328439,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
.C,-0.785464,42.941821,550.9,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.47555,0.689006,0.277532,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
.D,-0.512945,21.470911,674.640278,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.672866,0.344503,0.543322,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
.E,-0.580639,41.117793,571.444609,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.623852,0.659739,0.321661,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
.F,-0.440455,21.470911,624.966369,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.725352,0.344503,0.436624,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
.G,-0.828168,40.470911,692.803024,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.44463,0.64936,0.582335,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
.H,-1.442261,40.470911,697.896979,0.571429,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.64936,0.593276,0.545455,0.5,0.0,0.5,0.5,1.0,0.5,1.0
.I,-1.25098,41.117793,633.189182,0.428571,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.138496,0.659739,0.454286,0.363636,0.5,0.0,0.0,1.0,0.0,0.5,1.0
.J,-0.836557,21.470911,540.432824,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.438556,0.344503,0.255049,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
.K,-0.953484,21.470911,530.565793,0.571429,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.353896,0.344503,0.233855,0.545455,0.5,0.707107,0.5,1.0,0.0,0.5,1.0
.L,-1.030731,42.941821,520.777704,0.285714,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.297966,0.689006,0.21283,0.181818,0.0,0.707107,0.5,1.0,0.0,0.0,0.0
.M,-0.81978,42.941821,552.433542,0.714286,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.450704,0.689006,0.280826,0.727273,0.5,0.0,1.0,1.0,1.0,0.5,1.0
.N,-1.442261,42.494707,519.0,0.642857,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.0,0.681832,0.209012,0.636364,0.5,0.0,1.0,0.5,1.0,0.5,1.0
.O,-1.274007,62.324307,596.499355,0.142857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.121823,1.0,0.375478,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
.P,-1.442261,41.117793,560.5,0.214286,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.659739,0.298152,0.090909,0.5,0.0,0.0,1.0,0.0,0.0,0.0
.Q,-0.768354,41.117793,569.139212,0.714286,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.487939,0.659739,0.316709,0.727273,1.0,0.0,1.0,1.0,1.0,0.0,1.0
.R,-0.580639,41.117793,612.19945,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.623852,0.659739,0.409201,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
.S,-0.546709,21.470911,599.566834,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.648419,0.344503,0.382067,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
.T,-0.828168,45.071758,522.0,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.44463,0.723181,0.215456,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
.U,-1.242302,41.117793,612.804712,0.571429,0.5,0.0,0.0,1.0,1.0,0.5,1.0,0.144779,0.659739,0.410501,0.545455,0.5,0.0,0.0,1.0,1.0,0.5,1.0
.V,-0.677529,42.941821,549.0,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5537,0.689006,0.273451,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
.W,-0.681426,41.117793,644.602765,0.714286,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.550878,0.659739,0.478802,0.727273,1.0,0.0,1.0,1.0,1.0,0.0,1.0
.X,-0.81978,42.941821,615.2,0.714286,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.450704,0.689006,0.415646,0.727273,1.0,0.0,1.0,1.0,1.0,0.0,1.0
.Y,-1.442261,52.081366,556.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.835651,0.288487,0.454545,0.5,0.0,0.0,0.5,1.0,0.5,1.0
.Z,-0.79494,42.941821,597.25,0.714286,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.468689,0.689006,0.37709,0.727273,1.0,0.0,1.0,1.0,1.0,0.0,1.0
.[,-1.442261,45.071758,569.139212,0.142857,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.723181,0.316709,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
/',-1.411593,42.494707,570.75,0.142857,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.022205,0.681832,0.320169,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
"/,",-0.957513,42.941821,611.8,0.714286,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.350979,0.689006,0.408343,0.727273,0.5,0.0,1.0,1.0,1.0,0.5,1.0
/.,-1.026304,42.941821,578.048409,0.5,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.301171,0.689006,0.335846,0.454545,0.5,0.0,1.0,1.0,0.0,0.0,1.0
//,-0.947762,21.470911,578.539741,0.285714,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.358039,0.344503,0.336901,0.181818,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/;,-1.082689,42.941821,570.75,0.285714,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.260346,0.689006,0.320169,0.181818,0.0,0.707107,0.5,1.0,0.0,0.0,0.0
/A,-0.553769,21.470911,570.75,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.643307,0.344503,0.320169,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
/B,-0.803329,56.140782,595.6,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.462615,0.900785,0.373546,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
/C,-0.760624,42.941821,570.75,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.493535,0.689006,0.320169,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
/D,-0.488106,21.470911,603.0,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.690851,0.344503,0.389441,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
/E,-0.555799,41.117793,535.628594,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.641837,0.659739,0.24473,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
/F,-0.415615,21.470911,708.0,0.857143,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.743337,0.344503,0.614977,0.909091,1.0,0.707107,1.0,1.0,1.0,0.5,1.0
/G,-0.803329,40.470911,582.15,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.462615,0.64936,0.344656,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
/H,-1.411593,40.470911,722.9,0.571429,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.022205,0.64936,0.646982,0.545455,0.5,0.0,0.5,0.5,1.0,0.5,1.0
/I,-1.208647,41.117793,558.951785,0.571429,0.5,0.0,0.0,1.0,1.0,0.5,1.0,0.169147,0.659739,0.294827,0.545455,0.5,0.0,0.0,1.0,1.0,0.5,1.0
/J,-0.7701,21.470911,612.8,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.486674,0.344503,0.410491,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
/K,-0.890843,21.470911,551.05,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.399251,0.344503,0.277854,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
/L,-1.007587,21.470911,579.6,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.314723,0.344503,0.339179,0.454545,0.5,0.707107,0.5,1.0,0.0,0.0,1.0
/M,-0.80528,42.941821,691.5,0.714286,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.461202,0.689006,0.579536,0.727273,0.5,0.0,1.0,1.0,1.0,0.5,1.0
/N,-1.411593,42.494707,540.0,0.642857,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.022205,0.681832,0.254119,0.636364,0.5,0.0,1.0,0.5,1.0,0.5,1.0
/O,-1.306993,41.117793,601.0,0.357143,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.09794,0.659739,0.385145,0.272727,0.5,0.0,0.0,1.0,0.0,0.0,1.0
/P,-1.411593,62.324307,581.5,0.142857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022205,1.0,0.34326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/Q,-0.743514,41.117793,617.59994,0.714286,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.505924,0.659739,0.420801,0.727273,1.0,0.0,1.0,1.0,1.0,0.0,1.0
/R,-0.555799,41.117793,565.15,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.641837,0.659739,0.308141,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
/S,-0.521869,21.470911,566.9,0.785714,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.666404,0.344503,0.311899,0.818182,1.0,0.707107,1.0,1.0,1.0,0.0,1.0
/T,-0.803329,45.071758,543.0,0.714286,1.0,0.0,1.0,0.5,1.0,0.5,1.0,0.462615,0.723181,0.260563,0.727273,1.0,0.0,1.0,0.5,1.0,0.5,1.0
/U,-1.156305,41.117793,568.25,0.571429,0.5,0.0,0.0,1.0,1.0,0.5,1.0,0.207045,0.659739,0.314799,0.545455,0.5,0.0,0.0,1.0,1.0,0.5,1.0
/V,-0.652689,42.941821,579.9,0.785714,1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.571685,0.689006,0.339823,0.818182,1.0,0.0,1.0,1.0,1.0,0.5,1.0
/W,-0.656586,41.117793,496.5,0.714286,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.568863,0.659739,0.160683,0.727273,1.0,0.0,1.0,1.0,1.0,0.0,1.0
/X,-0.79494,42.941821,636.2,0.714286,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.468689,0.689006,0.460753,0.727273,1.0,0.0,1.0,1.0,1.0,0.0,1.0
/Y,-1.411593,52.081366,577.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.022205,0.835651,0.333594,0.454545,0.5,0.0,0.0,0.5,1.0,0.5,1.0
/Z,-0.7701,42.941821,618.25,0.714286,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.486674,0.689006,0.422197,0.727273,1.0,0.0,1.0,1.0,1.0,0.0,1.0
/[,-1.411593,59.680857,617.59994,0.071429,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.022205,0.957586,0.420801,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
;',-1.108432,19.0,552.0,0.285714,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.241707,0.304857,0.279895,0.181818,0.0,0.707107,1.0,0.5,0.0,0.0,0.0
";,",-0.881421,21.470911,552.0,0.714286,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.406073,0.344503,0.279895,0.727273,0.5,0.707107,0.5,1.0,1.0,0.5,1.0
;.,-0.955016,21.470911,636.2,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.352787,0.344503,0.460753,0.454545,0.5,0.707107,0.5,1.0,0.0,0.0,1.0
;/,-1.083828,21.470911,618.25,0.285714,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.259521,0.344503,0.422197,0.181818,0.0,0.707107,0.5,1.0,0.0,0.0,0.0
;;,-0.486375,0.0,552.0,0.428571,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.692103,0.0,0.279895,0.363636,0.0,1.0,1.0,1.0,0.0,0.0,0.0
