key_pair,distance_setup,distance_interval,distance_return,distance_total
DT,0.0,23.600847442411894,23.600847442411894,47.20169488482379
DU,0.0,19.6468827043885,19.6468827043885,39.293765408777
DV,0.0,21.470910553583888,21.470910553583888,42.941821107167776
DW,0.0,19.6468827043885,19.6468827043885,39.293765408777
DX,0.0,21.470910553583888,21.470910553583888,42.941821107167776
DY,0.0,30.610455730027933,30.610455730027933,61.220911460055866
DZ,0.0,21.470910553583888,21.470910553583888,42.941821107167776
D[,0.0,23.600847442411894,23.600847442411894,47.20169488482379
E',19.6468827043885,19.0,38.6468827043885,77.293765408777
"E,",19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
E.,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
E/,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
E;,19.6468827043885,0.0,19.6468827043885,39.293765408777
EA,19.6468827043885,0.0,19.6468827043885,39.293765408777
EB,19.6468827043885,34.66987164671943,54.31675435110793,108.63350870221586
EC,19.6468827043885,40.85339643163099,21.470910553583888,81.97118968960338
ED,19.6468827043885,19.6468827043885,0.0,39.293765408777
EE,19.6468827043885,0.0,19.6468827043885,39.293765408777
EF,19.6468827043885,0.0,19.6468827043885,39.293765408777
EG,19.6468827043885,19.0,38.6468827043885,77.293765408777
EH,19.6468827043885,19.0,38.6468827043885,77.293765408777
EI,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
EJ,19.6468827043885,0.0,19.6468827043885,39.293765408777
EK,19.6468827043885,0.0,19.6468827043885,39.293765408777
EL,19.6468827043885,0.0,19.6468827043885,39.293765408777
EM,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
EN,19.6468827043885,21.02379604162864,40.67067874601714,81.34135749203428
EO,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
EP,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
EQ,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
ER,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
ES,19.6468827043885,0.0,19.6468827043885,39.293765408777
ET,19.6468827043885,23.600847442411894,43.24773014680039,86.49546029360079
EU,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
EV,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
EW,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
EX,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
EY,19.6468827043885,30.610455730027933,50.25733843441643,100.51467686883286
EZ,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
E[,19.6468827043885,23.600847442411894,43.24773014680039,86.49546029360079
F',0.0,19.0,19.0,38.0
"F,",0.0,21.470910553583888,21.470910553583888,42.941821107167776
F.,0.0,21.470910553583888,21.470910553583888,42.941821107167776
F/,0.0,21.470910553583888,21.470910553583888,42.941821107167776
F;,0.0,0.0,0.0,0.0
FA,0.0,0.0,0.0,0.0
FB,0.0,34.66987164671943,34.66987164671943,69.33974329343886
FC,0.0,21.470910553583888,21.470910553583888,42.941821107167776
FD,0.0,0.0,0.0,0.0
FE,0.0,19.6468827043885,19.6468827043885,39.293765408777
FF,0.0,0.0,0.0,0.0
FG,0.0,19.0,19.0,38.0
FH,0.0,19.0,19.0,38.0
FI,0.0,19.6468827043885,19.6468827043885,39.293765408777
FJ,0.0,0.0,0.0,0.0
FK,0.0,0.0,0.0,0.0
FL,0.0,0.0,0.0,0.0
FM,0.0,21.470910553583888,21.470910553583888,42.941821107167776
FN,0.0,21.02379604162864,21.02379604162864,42.04759208325728
FO,0.0,19.6468827043885,19.6468827043885,39.293765408777
FP,0.0,19.6468827043885,19.6468827043885,39.293765408777
FQ,0.0,19.6468827043885,19.6468827043885,39.293765408777
FR,0.0,19.6468827043885,19.6468827043885,39.293765408777
FS,0.0,0.0,0.0,0.0
FT,0.0,23.600847442411894,23.600847442411894,47.20169488482379
FU,0.0,19.6468827043885,19.6468827043885,39.293765408777
FV,0.0,21.470910553583888,21.470910553583888,42.941821107167776
FW,0.0,19.6468827043885,19.6468827043885,39.293765408777
FX,0.0,21.470910553583888,21.470910553583888,42.941821107167776
FY,0.0,30.610455730027933,30.610455730027933,61.220911460055866
FZ,0.0,21.470910553583888,21.470910553583888,42.941821107167776
F[,0.0,23.600847442411894,23.600847442411894,47.20169488482379
G',19.0,19.0,38.0,76.0
"G,",19.0,21.470910553583888,40.47091055358389,80.94182110716778
G.,19.0,21.470910553583888,40.47091055358389,80.94182110716778
G/,19.0,21.470910553583888,40.47091055358389,80.94182110716778
G;,19.0,0.0,19.0,38.0
GA,19.0,0.0,19.0,38.0
GB,19.0,21.470910553583888,34.66987164671943,75.14078220030332
GC,19.0,21.470910553583888,40.47091055358389,80.94182110716778
GD,19.0,0.0,19.0,38.0
GE,19.0,19.6468827043885,38.6468827043885,77.293765408777
GF,19.0,19.0,0.0,38.0
GG,19.0,0.0,19.0,38.0
GH,19.0,19.0,38.0,76.0
GI,19.0,19.6468827043885,38.6468827043885,77.293765408777
GJ,19.0,0.0,19.0,38.0
GK,19.0,0.0,19.0,38.0
GL,19.0,0.0,19.0,38.0
GM,19.0,21.470910553583888,40.47091055358389,80.94182110716778
GN,19.0,21.02379604162864,40.02379604162864,80.04759208325729
GO,19.0,19.6468827043885,38.6468827043885,77.293765408777
GP,19.0,19.6468827043885,38.6468827043885,77.293765408777
GQ,19.0,19.6468827043885,38.6468827043885,77.293765408777
GR,19.0,30.610455730027933,19.6468827043885,69.25733843441644
GS,19.0,0.0,19.0,38.0
GT,19.0,19.6468827043885,23.600847442411894,62.24773014680039
GU,19.0,19.6468827043885,38.6468827043885,77.293765408777
GV,19.0,21.02379604162864,21.470910553583888,61.494706595212534
GW,19.0,19.6468827043885,38.6468827043885,77.293765408777
GX,19.0,21.470910553583888,40.47091055358389,80.94182110716778
GY,19.0,30.610455730027933,49.61045573002794,99.22091146005587
GZ,19.0,21.470910553583888,40.47091055358389,80.94182110716778
G[,19.0,23.600847442411894,42.60084744241189,85.20169488482378
H',19.0,19.0,38.0,76.0
"H,",19.0,21.470910553583888,40.47091055358389,80.94182110716778
H.,19.0,21.470910553583888,40.47091055358389,80.94182110716778
H/,19.0,21.470910553583888,40.47091055358389,80.94182110716778
H;,19.0,0.0,19.0,38.0
HA,19.0,0.0,19.0,38.0
HB,19.0,34.66987164671943,53.66987164671943,107.33974329343886
HC,19.0,21.470910553583888,40.47091055358389,80.94182110716778
HD,19.0,0.0,19.0,38.0
HE,19.0,19.6468827043885,38.6468827043885,77.293765408777
HF,19.0,0.0,19.0,38.0
HG,19.0,19.0,38.0,76.0
HH,19.0,0.0,19.0,38.0
HI,19.0,19.6468827043885,38.6468827043885,77.293765408777
HJ,19.0,19.0,0.0,38.0
HK,19.0,0.0,19.0,38.0
HL,19.0,0.0,19.0,38.0
HM,19.0,34.66987164671943,21.470910553583888,75.14078220030332
HN,19.0,21.470910553583888,21.02379604162864,61.494706595212534
HO,19.0,19.6468827043885,38.6468827043885,77.293765408777
HP,19.0,19.6468827043885,38.6468827043885,77.293765408777
HQ,19.0,19.6468827043885,38.6468827043885,77.293765408777
HR,19.0,19.6468827043885,38.6468827043885,77.293765408777
HS,19.0,0.0,19.0,38.0
HT,19.0,23.600847442411894,42.60084744241189,85.20169488482378
HU,19.0,23.600847442411894,19.6468827043885,62.24773014680039
HV,19.0,21.470910553583888,40.47091055358389,80.94182110716778
HW,19.0,19.6468827043885,38.6468827043885,77.293765408777
HX,19.0,21.470910553583888,40.47091055358389,80.94182110716778
HY,19.0,19.6468827043885,30.610455730027933,69.25733843441644
HZ,19.0,21.470910553583888,40.47091055358389,80.94182110716778
H[,19.0,23.600847442411894,42.60084744241189,85.20169488482378
I',19.6468827043885,19.0,38.6468827043885,77.293765408777
"I,",19.6468827043885,40.85339643163099,21.470910553583888,81.97118968960338
I.,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
I/,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
I;,19.6468827043885,0.0,19.6468827043885,39.293765408777
IA,19.6468827043885,0.0,19.6468827043885,39.293765408777
IB,19.6468827043885,34.66987164671943,54.31675435110793,108.63350870221586
IC,19.6468827043885,21.470910553583888,41.11779325797239,82.23558651594477
ID,19.6468827043885,0.0,19.6468827043885,39.293765408777
IE,19.6468827043885,19.6468827043885,39.293765408777,78.587530817554
IF,19.6468827043885,0.0,19.6468827043885,39.293765408777
IG,19.6468827043885,19.0,38.6468827043885,77.293765408777
IH,19.6468827043885,19.0,38.6468827043885,77.293765408777
II,19.6468827043885,0.0,19.6468827043885,39.293765408777
IJ,19.6468827043885,0.0,19.6468827043885,39.293765408777
