key_pair,comfort_score,distance_score,dvorak7_score,engram7_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram7_score_normalized,time_score_normalized
..,-0.977061,42.941821,0.285714,0.357143,1063.986673,0.348626,0.318088,0.040816,0.05102,0.726451
./,-1.147859,85.883642,0.357143,0.642857,1248.075636,0.234761,0.636175,0.05102,0.091837,0.99717
.;,-1.075631,42.941821,0.357143,0.464286,1048.0,0.282913,0.318088,0.05102,0.066327,0.702941
.A,-0.578609,42.941821,0.785714,0.821429,1048.0,0.614261,0.318088,0.112245,0.117347,0.702941
.B,-0.828168,112.281564,0.714286,0.75,1134.2,0.447888,0.831715,0.102041,0.107143,0.829706
.C,-0.785464,85.883642,0.785714,0.785714,1048.0,0.476358,0.636175,0.112245,0.112245,0.702941
.D,-0.512945,42.941821,0.857143,0.892857,1054.4,0.658037,0.318088,0.122449,0.127551,0.712353
.E,-0.580639,82.235587,0.785714,0.857143,838.026863,0.612907,0.609152,0.112245,0.122449,0.394157
.F,-0.440455,42.941821,0.857143,0.892857,1093.220488,0.706363,0.318088,0.122449,0.127551,0.769442
.G,-0.828168,80.941821,0.785714,0.75,1067.633136,0.447888,0.599569,0.112245,0.107143,0.731813
.H,-1.442261,80.941821,0.642857,0.535714,1048.760971,0.038493,0.599569,0.091837,0.076531,0.70406
.I,-1.25098,82.235587,0.428571,0.428571,881.16673,0.166014,0.609152,0.061224,0.061224,0.457598
.J,-0.836557,42.941821,0.714286,0.678571,1105.396844,0.442295,0.318088,0.102041,0.096939,0.787348
.K,-0.953484,42.941821,0.571429,0.535714,1054.551641,0.364344,0.318088,0.081633,0.076531,0.712576
.L,-1.030731,42.941821,0.285714,0.321429,1059.5,0.312846,0.318088,0.040816,0.045918,0.719853
.M,-0.81978,85.883642,0.714286,0.714286,1095.841039,0.45348,0.636175,0.102041,0.102041,0.773296
.N,-1.442261,84.989413,0.642857,0.607143,1075.4,0.038493,0.629551,0.091837,0.086735,0.743235
.O,-1.274007,81.97119,0.142857,0.214286,1081.1,0.150662,0.607194,0.020408,0.030612,0.751618
.P,-1.442261,82.235587,0.214286,0.285714,1048.0,0.038493,0.609152,0.030612,0.040816,0.702941
.Q,-0.768354,82.235587,0.714286,0.714286,840.448964,0.487764,0.609152,0.102041,0.102041,0.397719
.R,-0.580639,82.235587,0.785714,0.785714,868.13971,0.612907,0.609152,0.112245,0.112245,0.438441
.S,-0.546709,42.941821,0.785714,0.821429,806.521626,0.635527,0.318088,0.112245,0.117347,0.347826
.T,-0.828168,90.143516,0.714286,0.75,1048.0,0.447888,0.66773,0.102041,0.107143,0.702941
.U,-1.242302,82.235587,0.571429,0.5,1061.6,0.171799,0.609152,0.081633,0.071429,0.722941
.V,-0.677529,85.883642,0.785714,0.857143,1082.6,0.548314,0.636175,0.112245,0.122449,0.753824
.W,-0.681426,82.235587,0.714286,0.785714,1096.771791,0.545716,0.609152,0.102041,0.112245,0.774664
.X,-0.81978,85.883642,0.714286,0.785714,1048.0,0.45348,0.636175,0.102041,0.112245,0.702941
.Y,-1.442261,104.162733,0.5,0.464286,1048.0,0.038493,0.771576,0.071429,0.066327,0.702941
.Z,-0.79494,85.883642,0.714286,0.785714,1248.0,0.47004,0.636175,0.102041,0.112245,0.997059
.[,-1.442261,90.143516,0.142857,0.25,840.448964,0.038493,0.66773,0.020408,0.035714,0.397719
/',-1.411593,61.494707,0.214286,0.178571,859.5,0.058938,0.455516,0.030612,0.02551,0.425735
"/,",-0.957513,85.883642,0.714286,0.642857,859.5,0.361658,0.636175,0.102041,0.091837,0.425735
/.,-1.026304,85.883642,0.5,0.785714,859.5,0.315798,0.636175,0.071429,0.112245,0.425735
//,-0.947762,42.941821,0.285714,0.357143,1063.555315,0.368159,0.318088,0.040816,0.05102,0.725817
/;,-1.082689,42.941821,0.285714,0.321429,859.5,0.278207,0.318088,0.040816,0.045918,0.425735
/A,-0.553769,42.941821,0.785714,0.821429,859.5,0.63082,0.318088,0.112245,0.117347,0.425735
/B,-0.803329,112.281564,0.714286,0.75,945.7,0.464448,0.831715,0.102041,0.107143,0.5525
/C,-0.760624,85.883642,0.785714,0.785714,859.5,0.492917,0.636175,0.112245,0.112245,0.425735
/D,-0.488106,42.941821,0.857143,0.892857,865.9,0.674596,0.318088,0.122449,0.127551,0.435147
/E,-0.555799,82.235587,0.785714,0.857143,885.294905,0.629467,0.609152,0.112245,0.122449,0.463669
/F,-0.415615,42.941821,0.857143,0.892857,904.0,0.722923,0.318088,0.122449,0.127551,0.491176
/G,-0.803329,80.941821,0.785714,0.75,702.5,0.464448,0.599569,0.112245,0.107143,0.194853
/H,-1.411593,80.941821,0.642857,0.535714,859.5,0.058938,0.599569,0.091837,0.076531,0.425735
/I,-1.208647,82.235587,0.571429,0.571429,704.797259,0.194235,0.609152,0.081633,0.081633,0.198231
/J,-0.7701,42.941821,0.714286,0.678571,904.0,0.4866,0.318088,0.102041,0.096939,0.491176
/K,-0.890843,42.941821,0.714286,0.678571,859.5,0.406104,0.318088,0.102041,0.096939,0.425735
/L,-1.007587,42.941821,0.5,0.464286,871.0,0.328276,0.318088,0.071429,0.066327,0.442647
/M,-0.80528,85.883642,0.714286,0.714286,885.998089,0.463147,0.636175,0.102041,0.102041,0.464703
/N,-1.411593,84.989413,0.642857,0.607143,886.9,0.058938,0.629551,0.091837,0.086735,0.466029
/O,-1.306993,82.235587,0.357143,0.357143,892.6,0.128671,0.609152,0.05102,0.05102,0.474412
/P,-1.411593,81.97119,0.142857,0.142857,859.5,0.058938,0.607194,0.020408,0.020408,0.425735
/Q,-0.743514,82.235587,0.714286,0.714286,877.9,0.504324,0.609152,0.102041,0.102041,0.452794
/R,-0.555799,82.235587,0.785714,0.785714,875.530298,0.629467,0.609152,0.112245,0.112245,0.449309
/S,-0.521869,42.941821,0.785714,0.821429,870.002613,0.652087,0.318088,0.112245,0.117347,0.44118
/T,-0.803329,90.143516,0.714286,0.75,859.5,0.464448,0.66773,0.102041,0.107143,0.425735
/U,-1.156305,82.235587,0.571429,0.5,873.1,0.22913,0.609152,0.081633,0.071429,0.445735
/V,-0.652689,85.883642,0.785714,0.857143,894.1,0.564874,0.636175,0.112245,0.122449,0.476618
/W,-0.656586,82.235587,0.714286,0.785714,710.551498,0.562276,0.609152,0.102041,0.112245,0.206693
/X,-0.79494,85.883642,0.714286,0.785714,859.5,0.47004,0.636175,0.102041,0.112245,0.425735
/Y,-1.411593,104.162733,0.5,0.464286,859.5,0.058938,0.771576,0.071429,0.066327,0.425735
