layout,distance_ignore_cross_hand,distance_scorer_average_travel,distance_scorer_keystroke_count,distance_scorer_max_travel,distance_scorer_min_travel,distance_scorer_primary,distance_scorer_total_travel,distance_text_length,dvorak9_available_comfort_combinations,dvorak9_available_speed_combinations,dvorak9_ignore_cross_hand,dvorak9_scorer_columns,dvorak9_scorer_comfort_weighted_score,dvorak9_scorer_dont_cross_home,dvorak9_scorer_fingers,dvorak9_scorer_frequency_weighted_score,dvorak9_scorer_hands,dvorak9_scorer_home_row,dvorak9_scorer_primary,dvorak9_scorer_pure_dvorak_score,dvorak9_scorer_same_row,dvorak9_scorer_skip_fingers,dvorak9_scorer_speed_weighted_score,dvorak9_scorer_strong_fingers,dvorak9_scorer_strum,dvorak9_theoretical_maximum,engram_alphabet_coverage_24key,engram_alphabet_coverage_32key,engram_home_block_coverage,engram_ignore_cross_hand,engram_layout_size_24key,engram_layout_size_32key,engram_scorer_item_component,engram_scorer_item_component_24key,engram_scorer_item_component_32key,engram_scorer_item_pair_component,engram_scorer_item_pair_component_24key,engram_scorer_item_pair_component_32key,engram_scorer_primary,engram_scorer_total_score_24key,engram_scorer_total_score_32key
layout104,0.000000,24.861390,5.000000,50.990195,0.000000,0.975742,124.306949,5.000000,405.000000,512.000000,0.000000,0.793306,0.141554,0.955702,0.891491,0.682593,0.556761,0.489976,0.104645,0.609118,0.395418,0.692569,0.104645,0.614750,0.753366,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089129,0.110350,0.089129,0.085005,0.103034,0.085005,0.007576,0.011370,0.007576
layout104_common,0.000000,24.861390,5.000000,50.990195,0.000000,0.975742,124.306949,5.000000,405.000000,512.000000,0.000000,0.793306,0.141554,0.955702,0.891491,0.682593,0.556761,0.489976,0.104645,0.609118,0.395418,0.692569,0.104645,0.614750,0.753366,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089129,0.110350,0.089129,0.085005,0.103034,0.085005,0.007576,0.011370,0.007576
layout105,0.000000,12.023559,5.000000,21.470911,0.000000,0.988119,60.117793,5.000000,405.000000,512.000000,0.000000,0.790178,0.141902,0.956116,0.896193,0.684274,0.554701,0.496259,0.104902,0.609118,0.416916,0.697948,0.104902,0.594479,0.755674,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.090301,0.111801,0.090301,0.085918,0.103808,0.085918,0.007759,0.011606,0.007759
layout105_common,0.000000,12.023559,5.000000,21.470911,0.000000,0.988119,60.117793,5.000000,405.000000,512.000000,0.000000,0.790178,0.141902,0.956116,0.896193,0.684274,0.554701,0.496259,0.104902,0.609118,0.416916,0.697948,0.104902,0.594479,0.755674,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.090301,0.111801,0.090301,0.085918,0.103808,0.085918,0.007759,0.011606,0.007759
layout108,0.000000,11.658753,5.000000,19.646883,0.000000,0.988476,58.293765,5.000000,405.000000,512.000000,0.000000,0.790178,0.142326,0.954708,0.894897,0.686318,0.554701,0.499808,0.105216,0.608537,0.416091,0.697034,0.105216,0.612741,0.756702,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.091298,0.113036,0.091298,0.086799,0.105140,0.086799,0.007925,0.011885,0.007925
layout108_common,0.000000,11.658753,5.000000,19.646883,0.000000,0.988476,58.293765,5.000000,405.000000,512.000000,0.000000,0.790178,0.142326,0.954708,0.894897,0.686318,0.554701,0.499808,0.105216,0.608537,0.416091,0.697034,0.105216,0.612741,0.756702,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.091298,0.113036,0.091298,0.086799,0.105140,0.086799,0.007925,0.011885,0.007925
layout10_common,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.806822,0.139499,0.950187,0.875406,0.672686,0.558041,0.482987,0.103126,0.608039,0.382771,0.669754,0.103126,0.595934,0.732269,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089264,0.110518,0.089264,0.087443,0.109496,0.087443,0.007806,0.012101,0.007806
layout11,0.000000,11.658753,5.000000,19.646883,0.000000,0.988476,58.293765,5.000000,405.000000,512.000000,0.000000,0.801794,0.136884,0.956586,0.873327,0.660073,0.518818,0.496016,0.101192,0.608869,0.360177,0.647295,0.101192,0.571240,0.715407,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089566,0.110891,0.089566,0.084741,0.102874,0.084741,0.007590,0.011408,0.007590
layout118,0.000000,19.322339,5.000000,34.669872,0.000000,0.981044,96.611693,5.000000,405.000000,512.000000,0.000000,0.803317,0.135745,0.952622,0.863504,0.654585,0.524152,0.475188,0.100351,0.608869,0.360262,0.637137,0.100351,0.576631,0.698455,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.087902,0.108830,0.087902,0.083797,0.101617,0.083797,0.007366,0.011059,0.007366
layout118_common,0.000000,19.322339,5.000000,34.669872,0.000000,0.981044,96.611693,5.000000,405.000000,512.000000,0.000000,0.803317,0.135745,0.952622,0.863504,0.654585,0.524152,0.475188,0.100351,0.608869,0.360262,0.637137,0.100351,0.576631,0.698455,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.087902,0.108830,0.087902,0.083797,0.101617,0.083797,0.007366,0.011059,0.007366
