combination,k_way,correlation,p_value,abs_correlation,p_fdr_corrected,significant_after_fdr,supports_dvorak
skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,5,-0.14505260984324922,0.0,0.14505260984324922,0.0,True,True
skip_fingers + same_row + home_row + strong_fingers,4,-0.1450396731998699,0.0,0.1450396731998699,0.0,True,True
hands + fingers + skip_fingers + columns,4,-0.14502189324032025,0.0,0.14502189324032025,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + home_row,5,-0.14419837498569715,0.0,0.14419837498569715,0.0,True,True
hands + dont_cross_home + same_row + home_row + strong_fingers,5,-0.1441834030253485,0.0,0.1441834030253485,0.0,True,True
skip_fingers + same_row + home_row + strum,4,-0.14416999887955198,0.0,0.14416999887955198,0.0,True,True
fingers + skip_fingers + same_row + home_row + columns + strum + strong_fingers,7,-0.1441093717802132,0.0,0.1441093717802132,0.0,True,True
fingers + dont_cross_home + home_row + strum,4,-0.14400170562848716,0.0,0.14400170562848716,0.0,True,True
fingers + home_row,2,-0.14380850097260525,0.0,0.14380850097260525,0.0,True,True
fingers + skip_fingers + same_row + home_row + columns + strong_fingers,6,-0.14359058919000292,0.0,0.14359058919000292,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum,8,-0.1433519396336836,0.0,0.1433519396336836,0.0,True,True
skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,6,-0.14311381997606581,0.0,0.14311381997606581,0.0,True,True
hands + fingers + dont_cross_home + same_row + strum,5,-0.14305047939803428,0.0,0.14305047939803428,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + strong_fingers,5,-0.14294050501112907,0.0,0.14294050501112907,0.0,True,True
hands + fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,7,-0.1426838668078886,0.0,0.1426838668078886,0.0,True,True
hands + skip_fingers + dont_cross_home + strong_fingers,4,-0.14268162664690243,0.0,0.14268162664690243,0.0,True,True
fingers + skip_fingers + dont_cross_home + same_row + strum + strong_fingers,6,-0.14267183635954578,0.0,0.14267183635954578,0.0,True,True
hands + fingers + same_row + home_row + columns + strum,6,-0.1424745091126196,0.0,0.1424745091126196,0.0,True,True
hands + fingers + columns + strum + strong_fingers,5,-0.14233428506983417,0.0,0.14233428506983417,0.0,True,True
hands + fingers + columns + strum,4,-0.14224767744767022,0.0,0.14224767744767022,0.0,True,True
hands + fingers + dont_cross_home + same_row + strong_fingers,5,-0.14220107599990028,0.0,0.14220107599990028,0.0,True,True
skip_fingers + dont_cross_home + strum + strong_fingers,4,-0.14215195913965087,0.0,0.14215195913965087,0.0,True,True
hands + fingers + same_row + home_row + columns,5,-0.14185891014745686,0.0,0.14185891014745686,0.0,True,True
hands + strong_fingers,2,-0.14185624393145732,0.0,0.14185624393145732,0.0,True,True
hands + skip_fingers + same_row,3,-0.14143657442652485,0.0,0.14143657442652485,0.0,True,True
hands + same_row + home_row,3,-0.1413545608054695,0.0,0.1413545608054695,0.0,True,True
hands + dont_cross_home + same_row + home_row,4,-0.1413545608054695,0.0,0.1413545608054695,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,8,-0.140687736633576,0.0,0.140687736633576,0.0,True,True
hands + same_row + strum + strong_fingers,4,-0.14063199423446404,0.0,0.14063199423446404,0.0,True,True
hands + dont_cross_home + strum + strong_fingers,4,-0.14043595162508307,0.0,0.14043595162508307,0.0,True,True
hands + skip_fingers + same_row + home_row + columns + strong_fingers,6,-0.14021571884670853,0.0,0.14021571884670853,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,7,-0.13990353759422702,0.0,0.13990353759422702,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns,7,-0.13989915200907724,0.0,0.13989915200907724,0.0,True,True
hands + skip_fingers + same_row + home_row + columns + strum,6,-0.13983634542392612,0.0,0.13983634542392612,0.0,True,True
hands + fingers + skip_fingers + dont_cross_home + same_row + columns + strum + strong_fingers,8,-0.13976654534726565,0.0,0.13976654534726565,0.0,True,True
home_row + strum,2,-0.13972740193789257,0.0,0.13972740193789257,0.0,True,True
hands + skip_fingers + dont_cross_home + same_row + strum,5,-0.13963581809058126,0.0,0.13963581809058126,0.0,True,True
hands + fingers + skip_fingers + columns + strum + strong_fingers,6,-0.1394987237195536,0.0,0.1394987237195536,0.0,True,True
fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,6,-0.13941918942289444,0.0,0.13941918942289444,0.0,True,True
hands + fingers + skip_fingers + columns + strum,5,-0.13926431028710476,0.0,0.13926431028710476,0.0,True,True
