combination,k_way,correlation,p_value,abs_correlation,supports_dvorak,p_fdr_corrected,significant_after_fdr
skip_fingers + dont_cross_home + columns + strong_fingers,4,0.33780889681332676,8.950627611609254e-18,0.33780889681332676,True,5.3809067170968576e-17,True
hands + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,7,0.33535083894047185,1.591155925840104e-17,0.33535083894047185,True,9.454426489584804e-17,True
hands + dont_cross_home + same_row + home_row + columns + strum,6,0.33410388379492884,2.1262248414865647e-17,0.33410388379492884,True,1.2488516022984306e-16,True
fingers + same_row + home_row,3,0.3337979076711598,2.282515669239013e-17,0.3337979076711598,True,1.3254153488421997e-16,True
fingers + same_row + home_row + columns + strum,5,0.3294498918692363,6.20064391614833e-17,0.3294498918692363,True,3.5601449900581987e-16,True
fingers + same_row + columns,3,0.32873918179076583,7.289910909268057e-17,0.32873918179076583,True,4.1390494162621973e-16,True
fingers + same_row + home_row + strong_fingers,4,0.32813148141683196,8.369016651363455e-17,0.32813148141683196,True,4.699524734996401e-16,True
same_row + columns + strum + strong_fingers,4,0.32348956550509633,2.3779023780551145e-16,0.32348956550509633,True,1.320769690419743e-15,True
fingers + dont_cross_home + home_row + strong_fingers,4,0.3203521241967209,4.767811810998779e-16,0.3203521241967209,True,2.6197331563659958e-15,True
fingers + skip_fingers + dont_cross_home + home_row + columns + strong_fingers,6,0.3202181745344832,4.910654116021286e-16,0.3202181745344832,True,2.6572097663213547e-15,True
fingers + dont_cross_home + same_row + strong_fingers,4,0.3201911136576112,4.940018156566119e-16,0.3201911136576112,True,2.6572097663213547e-15,True
fingers + skip_fingers + dont_cross_home + same_row + columns + strong_fingers,6,0.3175262125987694,8.85983108836125e-16,0.3175262125987694,True,4.716014256408957e-15,True
fingers + skip_fingers + dont_cross_home + home_row + columns,5,0.3154871903813788,1.379844776528632e-15,0.3154871903813788,True,7.26907918356836e-15,True
same_row + columns + strum,3,0.3137179908682278,2.0210598730888643e-15,0.3137179908682278,True,1.0538383623963364e-14,True
home_row + columns + strum,3,0.312472543665307,2.6399536858602536e-15,0.312472543665307,True,1.3626427610854441e-14,True
fingers + skip_fingers + dont_cross_home + same_row + columns,5,0.3108857278443206,3.703574188094901e-15,0.3108857278443206,True,1.8925264101164947e-14,True
home_row,1,0.3106651440312441,3.88140450886637e-15,0.3106651440312441,True,1.963760103000708e-14,True
skip_fingers + dont_cross_home + columns,3,0.3100375348291428,4.4345184645393806e-15,0.3100375348291428,True,2.2011278061535293e-14,True
dont_cross_home + same_row + strum,3,0.31003519854764366,4.436715538822182e-15,0.31003519854764366,True,2.2011278061535293e-14,True
fingers + dont_cross_home + same_row + home_row + strum,5,0.30965112479863294,4.812822190248151e-15,0.30965112479863294,True,2.3647616723238513e-14,True
hands + fingers + same_row + home_row + columns + strong_fingers,6,0.3062428607772642,9.85667380292922e-15,0.3062428607772642,True,4.796914584092221e-14,True
fingers + skip_fingers + same_row + home_row + columns + strong_fingers,6,0.3054049284966967,1.17395565438678e-14,0.3054049284966967,True,5.6593522584117414e-14,True
fingers + dont_cross_home + columns + strum,4,0.30430129078629575,1.476641814843407e-14,0.30430129078629575,True,7.051999695186739e-14,True
hands + fingers + dont_cross_home + same_row + columns + strong_fingers,6,0.3033253403615147,1.8072600619840086e-14,0.3033253403615147,True,8.551017515498411e-14,True
same_row + home_row + strum,3,0.3019487847260296,2.4000677093993755e-14,0.3019487847260296,True,1.125169357342276e-13,True
hands + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,7,0.30017257796193203,3.4532611916627653e-14,0.30017257796193203,True,1.6041967899451574e-13,True
fingers + dont_cross_home + columns + strum + strong_fingers,5,0.29817571892539724,5.182849876256163e-14,0.29817571892539724,True,2.3859786367269365e-13,True
fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,6,0.29811119939898556,5.251017078043233e-14,0.29811119939898556,True,2.388792744910635e-13,True
skip_fingers + home_row + columns + strong_fingers,4,0.29808171767767316,5.2824575376693104e-14,0.29808171767767316,True,2.388792744910635e-13,True
skip_fingers + dont_cross_home + same_row + columns + strum + strong_fingers,6,0.29706348375056846,6.489266497573702e-14,0.29706348375056846,True,2.901726942273481e-13,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,8,0.2970322223345672,6.530305251691786e-14,0.2970322223345672,True,2.901726942273481e-13,True
skip_fingers + dont_cross_home + same_row + home_row,4,0.2954451365679259,8.984457549955223e-14,0.2954451365679259,True,3.9578084551957923e-13,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strum,7,0.2948361234304148,1.014922631852138e-13,0.2948361234304148,True,4.4326962809952353e-13,True
hands + fingers + dont_cross_home + same_row + columns,5,0.294339713871636,1.1207069993357386e-13,0.294339713871636,True,4.85323115814036e-13,True
hands + fingers + dont_cross_home + home_row + columns + strong_fingers,6,0.2935717814699169,1.305985686522565e-13,0.2935717814699169,True,5.608056183302779e-13,True
hands + fingers + same_row + home_row + columns,5,0.2933111758151907,1.3754415556761627e-13,0.2933111758151907,True,5.85708862458766e-13,True
hands + dont_cross_home + columns + strong_fingers,4,0.2909498969148694,2.1942873582161046e-13,0.2909498969148694,True,9.266783802053136e-13,True
same_row + home_row + strum + strong_fingers,4,0.29055864597415215,2.369860303426932e-13,0.29055864597415215,True,9.926218156157067e-13,True
